Variable,Category
Heat load,Topography
Elevation,Topography
TWI,Topography
Folded aspect,Topography
Slope,Topography
TPI,Topography
Curvature,Topography
AWC,Soil
CEC,Soil
Sand content,Soil
Total depth,Soil
Silt content,Soil
ksat,Soil
pH,Soil
Clay content,Soil
Organic matter,Soil
SWE,Climate
ΔSWE,Climate
CWD,Climate
AET,Climate
Geology,Geology
Heat load : Elevation,Topography : Topography
Elevation : TPI,Topography : Topography
Elevation : TWI,Topography : Topography
Elevation : Curvature,Topography : Topography
Elevation : Slope,Topography : Topography
Elevation : AWC,Topography : Soil
Elevation : ksat,Topography : Soil
Elevation : CEC,Topography : Soil
Elevation : pH,Topography : Soil
Elevation : SWE,Topography : Climate
Elevation : ΔSWE,Topography : Climate
Elevation : CWD,Topography : Climate
Elevation : AET,Topography : Climate
Heat load : TPI,Topography : Topography
Heat load : TWI,Topography : Topography
Heat load : Curvature,Topography : Topography
Heat load : Slope,Topography : Topography
Heat load : AWC,Topography : Soil
Heat load : ksat,Topography : Soil
Heat load : CEC,Topography : Soil
Heat load : pH,Topography : Soil
Heat load : SWE,Topography : Climate
Heat load : ΔSWE,Topography : Climate
Heat load : CWD,Topography : Climate
Heat load : AET,Topography : Climate
Heat load : TPI,Topography : Topography
TWI : TPI,Topography : Topography
TPI : Curvature,Topography : Topography
Slope : TPI,Topography : Topography
TPI : AWC,Topography : Soil
TPI : ksat,Topography : Soil
TPI : CEC,Topography : Soil
TPI : pH,Topography : Soil
TPI : SWE,Topography : Climate
TPI : ΔSWE,Topography : Climate
TPI : CWD,Topography : Climate
TPI : AET,Topography : Climate
Heat load : TWI,Topography : Topography
TWI : TPI,Topography : Topography
TWI : Curvature,Topography : Topography
TWI : Slope,Topography : Topography
TWI : AWC,Topography : Soil
TWI : ksat,Topography : Soil
TWI : CEC,Topography : Soil
TWI : pH,Topography : Soil
TWI : SWE,Topography : Climate
TWI : ΔSWE,Topography : Climate
TWI : CWD,Topography : Climate
TWI : AET,Topography : Climate
Heat load : Curvature,Topography : Topography
TPI : Curvature,Topography : Topography
TWI : Curvature,Topography : Topography
Slope : Curvature,Topography : Topography
Curvature : AWC,Topography : Soil
Curvature : ksat,Topography : Soil
Curvature : CEC,Topography : Soil
Curvature : pH,Topography : Soil
Curvature : SWE,Topography : Climate
Curvature : ΔSWE,Topography : Climate
Curvature : CWD,Topography : Climate
Curvature : AET,Topography : Climate
Heat load : Slope,Topography : Topography
Slope : TPI,Topography : Topography
TWI : Slope,Topography : Topography
Slope : Curvature,Topography : Topography
Slope : AWC,Topography : Soil
Slope : ksat,Topography : Soil
Slope : CEC,Topography : Soil
Slope : pH,Topography : Soil
Slope : SWE,Topography : Climate
Slope : ΔSWE,Topography : Climate
Slope : CWD,Topography : Climate
Slope : AET,Topography : Climate
Heat load : SWE,Topography : Climate
TPI : SWE,Topography : Climate
TWI : SWE,Topography : Climate
Curvature : SWE,Topography : Climate
Slope : SWE,Topography : Climate
AWC : SWE,Soil : Climate
ksat : SWE,Soil : Climate
CEC : SWE,Soil : Climate
pH : SWE,Soil : Climate
SWE : ΔSWE,Climate : Climate
SWE : CWD,Climate : Climate
SWE : AET,Climate : Climate
Heat load : ΔSWE,Topography : Climate
TPI : ΔSWE,Topography : Climate
TWI : ΔSWE,Topography : Climate
Curvature : ΔSWE,Topography : Climate
Slope : ΔSWE,Topography : Climate
AWC : ΔSWE,Soil : Climate
ksat : ΔSWE,Soil : Climate
CEC : ΔSWE,Soil : Climate
pH : ΔSWE,Soil : Climate
ΔSWE : CWD,Climate : Climate
ΔSWE : AET,Climate : Climate
TPI : CWD,Topography : Climate
TWI : CWD,Topography : Climate
Curvature : CWD,Topography : Climate
Slope : CWD,Topography : Climate
AWC : CWD,Soil : Climate
ksat : CWD,Soil : Climate
CEC : CWD,Soil : Climate
pH : CWD,Soil : Climate
SWE : CWD,Climate : Climate
ΔSWE : CWD,Climate : Climate
CWD : AET,Climate : Climate
TPI : AET,Topography : Climate
TWI : AET,Topography : Climate
Curvature : AET,Topography : Climate
Slope : AET,Topography : Climate
AWC : AET,Soil : Climate
ksat : AET,Soil : Climate
CEC : AET,Soil : Climate
pH : AET,Soil : Climate
SWE : AET,Climate : Climate
ΔSWE : AET,Climate : Climate
CWD : AET,Climate : Climate
X : Y,Spatial